# Saarthi dynamic block geography — India-wide LGD registry.
# GENERATED by scripts/build_india_blocks.py — do not hand-edit rows.
# Hierarchy + LGD codes: Ministry of Panchayati Raj LGD block table via the
# India Data Portal CKAN mirror (ODbL):
# https://ckandev.indiadataportal.com/dataset/lgd-codes (block-lgd-codes.csv).
# Coordinates: Sangrur/Malerkotla seed rows are Bhuvan polygon bbox-centres
# (location_method=bhuvan_polygon_centroid); rows joined to the bharatlas
# LGD block polygons use true polygon bbox-centres
# (location_method=polygon_centroid); the small remainder without polygons
# uses Open-Meteo geocoding town locations accepted ONLY on admin1
# (state) match (location_method=geocoded_centroid). Per-row queries in
# data/processed/geography/blocks_build.json. Rows without verified
# coordinates are DROPPED (never invented) — see skipped list there.
# Legacy deviations: 'Moonak' keeps Bhuvan ID bhuvan_b_274 (no current LGD
# development-block entry); legacy 'Lehra' = LGD 'Lehragaga' (344).
state_code,state_name,district_code,district_name,block_code,block_name,latitude,longitude,location_method
1,Jammu and Kashmir,625,Shopian,6880,Imamsahib,33.74215,74.90266,polygon_centroid
1,Jammu and Kashmir,625,Shopian,6881,Kaprin,33.67123,74.89506,polygon_centroid
1,Jammu and Kashmir,625,Shopian,6882,Chitragam,33.77906,74.96227,polygon_centroid
1,Jammu and Kashmir,625,Shopian,6883,Zainpora,33.70206,74.8138,polygon_centroid
1,Jammu and Kashmir,625,Shopian,6884,Harman,33.69558,74.92275,polygon_centroid
1,Jammu and Kashmir,626,Ganderbal,119,Ganderbal,34.21783,74.82881,polygon_centroid
1,Jammu and Kashmir,626,Ganderbal,120,Kangan,34.25369,75.1355,polygon_centroid
1,Jammu and Kashmir,626,Ganderbal,121,Lar,34.2625,74.75819,polygon_centroid
1,Jammu and Kashmir,626,Ganderbal,6546,Wakoora,34.22905,74.7125,polygon_centroid
1,Jammu and Kashmir,626,Ganderbal,6885,Sherpathri,34.17802,74.74394,polygon_centroid
1,Jammu and Kashmir,626,Ganderbal,6886,Safapora,34.27927,74.66763,polygon_centroid
1,Jammu and Kashmir,626,Ganderbal,6887,Gund,34.25784,75.19065,polygon_centroid
1,Jammu and Kashmir,627,Reasi,123,Arnas,33.19516,74.94369,polygon_centroid
1,Jammu and Kashmir,627,Reasi,128,Mahore,33.37239,74.89919,polygon_centroid
1,Jammu and Kashmir,627,Reasi,131,Pouni,33.10941,74.66999,polygon_centroid
1,Jammu and Kashmir,627,Reasi,133,Reasi,32.99752,74.90043,polygon_centroid
1,Jammu and Kashmir,627,Reasi,6938,Bamagh,33.11039,74.96063,polygon_centroid
1,Jammu and Kashmir,627,Reasi,6939,Katra,33.02738,74.93545,polygon_centroid
1,Jammu and Kashmir,627,Reasi,6941,Thuroo,33.24175,74.82157,polygon_centroid
1,Jammu and Kashmir,627,Reasi,6943,Thakrakote,33.18289,74.73659,polygon_centroid
1,Jammu and Kashmir,627,Reasi,6944,Gulab Garh,33.43477,74.93736,polygon_centroid
1,Jammu and Kashmir,627,Reasi,6945,Chassana,33.38742,74.71928,polygon_centroid
1,Jammu and Kashmir,7,Kathua,6968,Duggain,32.70498,75.5506,polygon_centroid
1,Jammu and Kashmir,7,Kathua,6969,Baggan,32.65068,75.68538,polygon_centroid
1,Jammu and Kashmir,7,Kathua,6970,Bhoond,32.62436,75.84603,polygon_centroid
1,Jammu and Kashmir,7,Kathua,6971,Mahanpur,32.52958,75.63256,polygon_centroid
1,Jammu and Kashmir,7,Kathua,6972,Dhar Mahanpur,32.65245,75.73977,polygon_centroid
1,Jammu and Kashmir,7,Kathua,6973,Mandli,32.62735,75.50839,polygon_centroid
