forecast_date,split,lead_day,block,forecast_target_date,forecast_rainfall_mm,valid_pixel_count,source_issue,source_target,target_7d_rainfall_mm
2016-06-03,train,3,Moonak,2016-06-06,0.0,12,2016.06.03,2016.06.06,0.07022092422954379
2016-06-03,train,3,Sangrur,2016-06-06,0.0012733476469293,28,2016.06.03,2016.06.06,0.10078443445280301
2016-06-03,train,3,Sunam,2016-06-06,0.0012547405869034,28,2016.06.03,2016.06.06,0.06366861460900419
2016-06-03,train,4,Dhuri,2016-06-07,0.0,22,2016.06.03,2016.06.07,0.0
2016-06-03,train,4,Lehra,2016-06-07,0.0,16,2016.06.03,2016.06.07,0.0
2016-06-03,train,4,Malerkotla,2016-06-07,0.0,28,2016.06.03,2016.06.07,0.0006854504688817543
2016-06-03,train,4,Moonak,2016-06-07,0.0,12,2016.06.03,2016.06.07,0.07022092422954379
2016-06-03,train,4,Sangrur,2016-06-07,0.0,28,2016.06.03,2016.06.07,0.10078443445280301
2016-06-03,train,4,Sunam,2016-06-07,0.0,28,2016.06.03,2016.06.07,0.06366861460900419
2016-06-03,train,5,Dhuri,2016-06-08,0.0,22,2016.06.03,2016.06.08,0.0
2016-06-03,train,5,Lehra,2016-06-08,0.0060531480048666,16,2016.06.03,2016.06.08,0.0
2016-06-03,train,5,Malerkotla,2016-06-08,0.0,28,2016.06.03,2016.06.08,0.0006854504688817543
2016-06-03,train,5,Moonak,2016-06-08,0.000840947793525,12,2016.06.03,2016.06.08,0.07022092422954379
2016-06-03,train,5,Sangrur,2016-06-08,0.0010179725962059,28,2016.06.03,2016.06.08,0.10078443445280301
2016-06-03,train,5,Sunam,2016-06-08,0.0053237890117868,28,2016.06.03,2016.06.08,0.06366861460900419
2016-06-03,train,6,Dhuri,2016-06-09,0.1353656388819217,22,2016.06.03,2016.06.09,0.0
2016-06-03,train,6,Lehra,2016-06-09,0.153592362999916,16,2016.06.03,2016.06.09,0.0
2016-06-03,train,6,Malerkotla,2016-06-09,0.1066718362271785,28,2016.06.03,2016.06.09,0.0006854504688817543
2016-06-03,train,6,Moonak,2016-06-09,0.2004359662532806,12,2016.06.03,2016.06.09,0.07022092422954379
